,movie_title,year,place,star_cast,rating,director
103,Full Metal Jacket,1987-01-01,104," Matthew Modine,  R. Lee Ermey",8.239576263054209,Stanley Kubrick
104,The Apartment,1960-01-01,105," Jack Lemmon,  Shirley MacLaine",8.23910336495767,Billy Wilder
105,Scarface,1983-01-01,106," Al Pacino,  Michelle Pfeiffer",8.235606925912244,Brian De Palma
106,Ikiru,1952-01-01,107," Takashi Shimura,  Nobuo Kaneko",8.234926521153282,Akira Kurosawa
107,The Sting,1973-01-01,108," Paul Newman,  Robert Redford",8.228739481227013,George Roy Hill
108,To Kill a Mockingbird,1962-01-01,109," Gregory Peck,  John Megna",8.228369442253971,Robert Mulligan
109,Taxi Driver,1976-01-01,110," Robert De Niro,  Jodie Foster",8.225693187888831,Martin Scorsese
110,Heat,1995-01-01,111," Al Pacino,  Robert De Niro",8.224892570760083,Michael Mann
111,Up,2009-01-01,112," Edward Asner,  Jordan Nagai",8.224558863289735,Pete Docter
112,LA Confidential,1997-01-01,113," Kevin Spacey,  Russell Crowe",8.223105960805938,Curtis Hanson
113,Metropolis,1927-01-01,114," Brigitte Helm,  Alfred Abel",8.221802268279259,Fritz Lang
114,Incendies,2010-01-01,115," Lubna Azabal,  Mélissa Désormeaux-Poulin",8.221388134459009,Denis Villeneuve
115,Jodaeiye Nader az Simin,2011-01-01,116," Payman Maadi,  Leila Hatami",8.221101134767665,Asghar Farhadi
116,Die Hard,1988-01-01,117," Bruce Willis,  Alan Rickman",8.220157073526199,John McTiernan
117,Snatch,2000-01-01,118," Jason Statham,  Brad Pitt",8.219754053807982,Guy Ritchie
118,Indiana Jones and the Last Crusade,1989-01-01,119," Harrison Ford,  Sean Connery",8.218423518407567,Steven Spielberg
119,Ladri di biciclette,1948-01-01,120," Lamberto Maggiorani,  Enzo Staiola",8.218072681295382,Vittorio De Sica
120,Hamilton,2020-01-01,121," Lin-Manuel Miranda,  Phillipa Soo",8.216338777230693,Thomas Kail
121,1917,2019-01-01,122," Dean-Charles Chapman,  George MacKay",8.211771469904013,Sam Mendes
122,Taare Zameen Par,2007-01-01,123," Darsheel Safary,  Aamir Khan",8.208159255753891,Aamir Khan
123,Der Untergang,2004-01-01,124," Bruno Ganz,  Alexandra Maria Lara",8.204845459768475,Oliver Hirschbiegel
124,Per qualche dollaro in più,1965-01-01,125," Clint Eastwood,  Lee Van Cleef",8.202567345050332,Sergio Leone
125,Batman Begins,2005-01-01,126," Christian Bale,  Michael Caine",8.20123916735346,Christopher Nolan
126,Dangal,2016-01-01,127," Aamir Khan,  Sakshi Tanwar",8.198599560629113,Nitesh Tiwari
127,The Kid,1921-01-01,128," Charles Chaplin,  Edna Purviance",8.194014315685873,Charles Chaplin
128,Some Like It Hot,1959-01-01,129," Marilyn Monroe,  Tony Curtis",8.192135672421443,Billy Wilder
129,All About Eve,1950-01-01,130," Bette Davis,  Anne Baxter",8.18101824084314,Joseph L. Mankiewicz
130,The Father,2020-01-01,131," Anthony Hopkins,  Olivia Colman",8.180789330685291,Florian Zeller
131,Green Book,2018-01-01,132," Viggo Mortensen,  Mahershala Ali",8.175048724960453,Peter Farrelly
132,Spider-Man: No Way Home,2021-01-01,133," Tom Holland,  Zendaya",8.173985424576264,Jon Watts
133,The Wolf of Wall Street,2013-01-01,134," Leonardo DiCaprio,  Jonah Hill",8.173323497688845,Martin Scorsese
134,Judgment at Nuremberg,1961-01-01,135," Spencer Tracy,  Burt Lancaster",8.170475770722874,Stanley Kramer
135,Ran,1985-01-01,136," Tatsuya Nakadai,  Akira Terao",8.16520998152474,Akira Kurosawa
136,Casino,1995-01-01,137," Robert De Niro,  Sharon Stone",8.16415954406818,Martin Scorsese
137,Unforgiven,1992-01-01,138," Clint Eastwood,  Gene Hackman",8.163746956986387,Clint Eastwood
138,Pan's Labyrinth,2006-01-01,139," Ivana Baquero,  Ariadna Gil",8.162508319362145,Guillermo del Toro
139,There Will Be Blood,2007-01-01,140," Daniel Day-Lewis,  Paul Dano",8.156740511741871,Paul Thomas Anderson
140,The Truman Show,1998-01-01,141," Jim Carrey,  Ed Harris",8.154137116669155,Peter Weir
141,The Sixth Sense,1999-01-01,142," Bruce Willis,  Haley Joel Osment",8.154082497734802,M. Night Shyamalan
142,A Beautiful Mind,2001-01-01,143," Russell Crowe,  Ed Harris",8.152603299973249,Ron Howard
143,Monty Python and the Holy Grail,1975-01-01,144," Graham Chapman,  John Cleese",8.150565489477597,Terry Gilliam
144,Yôjinbô,1961-01-01,145," Toshirô Mifune,  Eijirô Tôno",8.149785217516119,Akira Kurosawa
145,The Treasure of the Sierra Madre,1948-01-01,146," Humphrey Bogart,  Walter Huston",8.149057770719567,John Huston
146,Shutter Island,2010-01-01,147," Leonardo DiCaprio,  Emily Mortimer",8.14562774820759,Martin Scorsese
147,Jurassic Park,1993-01-01,148," Sam Neill,  Laura Dern",8.14510218993222,Steven Spielberg
148,The Great Escape,1963-01-01,149," Steve McQueen,  James Garner",8.14261913220415,John Sturges
149,Rashômon,1950-01-01,150," Toshirô Mifune,  Machiko Kyô",8.142246782418892,Akira Kurosawa
150,Kill Bill: Vol 1,2003-01-01,151," Uma Thurman,  David Carradine",8.137862983520481,Quentin Tarantino
151,No Country for Old Men,2007-01-01,152," Tommy Lee Jones,  Javier Bardem",8.13700893221838,Ethan Coen
152,Finding Nemo,2003-01-01,153," Albert Brooks,  Ellen DeGeneres",8.131517045344157,Andrew Stanton
153,The Elephant Man,1980-01-01,154," Anthony Hopkins,  John Hurt",8.130330158285984,David Lynch
